name,date,tech_self_score,strengths,weaknesses,self_development,geo_flex,financial_support_self,result,course_interest
Kerstin Couper,23/07/2019,"{'Ruby': 4, 'R': 1, 'PHP': 2, 'C++': 4, 'JavaScript': 1}",['Courteous'],['Overbearing'],Yes,Yes,Yes,Pass,Data
Keen Tripony,03/07/2019,,['Efficient'],"['Chaotic', 'Anxious']",Yes,Yes,Yes,Pass,Business
Ody Paroni,18/07/2019,{'R': 4},"['Composure', 'Reliable', 'Creative']","['Conventional', 'Chatty']",Yes,Yes,Yes,Pass,Data
Rodolfo Drillot,03/07/2019,"{'Python': 3, 'Java': 1, 'Ruby': 5, 'PHP': 1}",['Listening'],"['Passive', 'Chatty', 'Indecisive']",Yes,Yes,Yes,Pass,Business
Derward Wyllt,03/07/2019,"{'Python': 5, 'Java': 6, 'R': 1, 'PHP': 1}","['Collaboration', 'Independent', 'Ambitious']","['Procrastination', 'Perfectionist']",Yes,No,No,Fail,Business
Amil Lidden,09/07/2019,,['Charisma'],['Competitive'],No,Yes,Yes,Fail,Data
Salim Sarra,10/07/2019,"{'R': 8, 'JavaScript': 5}","['Courteous', 'Rational', 'Problem Solving']","['Slow', 'Competitive', 'Indecisive']",Yes,Yes,Yes,Pass,Data
Horatius Branch,11/07/2019,"{'C#': 6, 'Java': 2, 'Ruby': 3, 'PHP': 3, 'C++': 3}","['Composure', 'Courteous', 'Passionate']",['Intolerant'],Yes,Yes,Yes,Pass,Data
Frankie Boseley,02/07/2019,"{'Ruby': 2, 'R': 3}","['Problem Solving', 'Patient']",['Impatient'],Yes,Yes,Yes,Pass,Engineering
Bayard Stuckow,09/07/2019,{'Python': 4},['Curious'],"['Critical', 'Conventional']",Yes,Yes,Yes,Pass,Data
Babita Tabourin,18/07/2019,"{'C#': 3, 'Ruby': 3, 'R': 3, 'SPSS': 2, 'PHP': 3}","['Innovative', 'Listening', 'Perfectionism']","['Critical', 'Slow', 'Indifferent']",No,Yes,Yes,Fail,Engineering
Job Restall,10/07/2019,"{'Python': 3, 'Java': 1}","['Rational', 'Perfectionism', 'Curious']","['Competitive', 'Distracted', 'Selfish']",Yes,Yes,Yes,Pass,Data
Evin De Roeck,17/07/2019,{'R': 1},"['Perfectionism', 'Patient', 'Creative']","['Anxious', 'Slow', 'Introverted']",Yes,Yes,Yes,Pass,Engineering
Leopold Boichat,25/07/2019,{'C++': 4},['Critical Thinking'],"['Impatient', 'Slow', 'Selfish']",Yes,Yes,Yes,Pass,Engineering
Nevil Penhaligon,24/07/2019,"{'R': 1, 'C++': 1}","['Creative', 'Problem Solving']","['Sensitive', 'Perfectionist', 'Overbearing']",Yes,Yes,Yes,Pass,Engineering
Thorin Eskriet,10/07/2019,"{'R': 7, 'PHP': 1, 'C++': 3}","['Innovative', 'Patient']",['Impatient'],Yes,Yes,Yes,Fail,Business
Kathy Capstack,18/07/2019,{'Java': 2},"['Organisation', 'Competitive', 'Reliable']","['Indifferent', 'Competitive']",Yes,Yes,Yes,Pass,Engineering
Floris Rizzetti,11/07/2019,"{'R': 3, 'C++': 1}","['Altruism', 'Problem Solving', 'Versatile']","['Conventional', 'Indecisive', 'Stubborn']",Yes,Yes,Yes,Pass,Engineering
Ollie Pinniger,09/07/2019,"{'C#': 1, 'Java': 3, 'Ruby': 6, 'PHP': 1, 'JavaScript': 6}",['Perfectionism'],"['Controlling', 'Stubborn']",Yes,Yes,Yes,Pass,Business
Rancell Lill,18/07/2019,,"['Collaboration', 'Charisma', 'Critical Thinking']",['Competitive'],Yes,Yes,Yes,Pass,Engineering
Van Chesshyre,09/07/2019,"{'C#': 2, 'Ruby': 4, 'PHP': 5}",['Independent'],"['Indecisive', 'Sensitive', 'Anxious']",Yes,Yes,Yes,Pass,Business
Vivienne Blakelock,10/07/2019,{'SPSS': 3},"['Problem Solving', 'Patient']","['Slow', 'Chatty', 'Indecisive']",Yes,Yes,Yes,Pass,Business
Brad Coleyshaw,30/07/2019,{'JavaScript': 1},"['Listening', 'Versatile']",['Anxious'],Yes,Yes,Yes,Pass,Engineering
Adelaida Pirson,11/07/2019,"{'Python': 3, 'C++': 4, 'JavaScript': 6}","['Versatile', 'Reliable', 'Consistent']",['Undisciplined'],Yes,Yes,Yes,Pass,Data
Alli Ludewig,16/07/2019,"{'C#': 3, 'R': 2, 'SPSS': 7, 'C++': 2}",['Courteous'],"['Passive', 'Overbearing', 'Sensitive']",Yes,Yes,Yes,Pass,Engineering
Elnore Schwandner,16/07/2019,"{'Ruby': 5, 'PHP': 2}","['Composure', 'Competitive']","['Indecisive', 'Distracted']",Yes,Yes,Yes,Pass,Business
Sandor Swatradge,18/07/2019,"{'R': 4, 'SPSS': 2, 'JavaScript': 3}","['Organisation', 'Problem Solving']","['Slow', 'Conventional']",Yes,Yes,Yes,Fail,Business
Benjamin Chastand,31/07/2019,"{'C++': 2, 'JavaScript': 5}","['Creative', 'Patient', 'Composure']","['Conventional', 'Indecisive', 'Undisciplined']",Yes,Yes,Yes,Pass,Engineering
Coleman Martynka,25/07/2019,"{'Python': 7, 'Java': 4, 'C++': 3, 'JavaScript': 2}","['Empathy', 'Collaboration']","['Impulsive', 'Immature', 'Selfish']",Yes,Yes,Yes,Pass,Data
Alistair Scanes,23/07/2019,"{'Python': 4, 'C#': 2, 'Java': 4, 'R': 2, 'PHP': 1}",['Problem Solving'],['Controlling'],Yes,Yes,Yes,Pass,Engineering
Gradeigh Hamblin,16/07/2019,"{'Python': 7, 'C#': 2, 'Ruby': 1, 'C++': 2, 'JavaScript': 5}","['Innovative', 'Altruism', 'Determined']","['Distracted', 'Selfish']",Yes,Yes,No,Fail,Engineering
Clementine Greedier,24/07/2019,"{'Python': 3, 'Ruby': 5, 'C++': 2, 'JavaScript': 3}","['Collaboration', 'Efficient']",['Selfish'],Yes,Yes,Yes,Pass,Engineering
Dyna Sange,04/07/2019,"{'C#': 1, 'Ruby': 6, 'R': 4, 'PHP': 3}",['Reliable'],"['Slow', 'Chatty', 'Introverted']",Yes,Yes,No,Fail,Engineering
Aggie Remmers,30/07/2019,"{'C#': 1, 'SPSS': 5, 'C++': 3, 'JavaScript': 4}","['Composure', 'Reliable', 'Consistent']",['Overbearing'],Yes,Yes,Yes,Pass,Business
Randie Klimashevich,10/07/2019,"{'Java': 1, 'PHP': 2}","['Consistent', 'Composure']",['Undisciplined'],Yes,Yes,Yes,Pass,Data
Laird Grece,17/07/2019,"{'Python': 6, 'Java': 2, 'PHP': 1}","['Composure', 'Innovative']","['Conventional', 'Procrastination']",No,Yes,Yes,Fail,Engineering
Abelard Cardenas,09/07/2019,"{'Java': 4, 'PHP': 1, 'JavaScript': 2}","['Courteous', 'Composure']","['Procrastination', 'Indecisive']",Yes,Yes,Yes,Fail,Business
Maje Vallis,10/07/2019,"{'Java': 1, 'JavaScript': 1}",['Competitive'],['Impatient'],Yes,Yes,Yes,Pass,Engineering
Thoma Bolesworth,04/07/2019,"{'Java': 3, 'JavaScript': 3}","['Courteous', 'Problem Solving', 'Rational']",['Competitive'],Yes,Yes,Yes,Pass,Data
Kris Whaley,30/07/2019,"{'Python': 3, 'C++': 6}","['Altruism', 'Consistent']","['Slow', 'Indecisive']",No,Yes,Yes,Fail,Business
Elsworth Bendtsen,31/07/2019,"{'C#': 2, 'Ruby': 6, 'JavaScript': 5}","['Determined', 'Charisma', 'Composure']","['Procrastination', 'Controlling']",Yes,Yes,Yes,Pass,Engineering
Honor Huntall,02/07/2019,"{'Python': 2, 'Ruby': 2}","['Composure', 'Patient']",['Conventional'],Yes,Yes,Yes,Pass,Engineering
Paulina Tear,17/07/2019,{'PHP': 3},"['Courteous', 'Rational', 'Creative']","['Intolerant', 'Anxious']",No,Yes,Yes,Fail,Business
Kirsten Spelman,30/07/2019,"{'Python': 1, 'C++': 3}",['Composure'],"['Stubborn', 'Procrastination', 'Passive']",Yes,Yes,Yes,Pass,Data
Yankee Northing,02/07/2019,"{'C#': 5, 'Java': 2, 'R': 3, 'C++': 1}","['Critical Thinking', 'Versatile']",['Controlling'],Yes,Yes,Yes,Pass,Data
Noby Vacher,04/07/2019,"{'Ruby': 5, 'PHP': 1, 'JavaScript': 2}","['Composure', 'Collaboration', 'Versatile']",['Controlling'],Yes,Yes,No,Fail,Business
Bevon Detoile,03/07/2019,"{'R': 4, 'C++': 4}","['Ambitious', 'Charisma']",['Indecisive'],Yes,Yes,Yes,Pass,Business
Weylin Swatradge,03/07/2019,"{'Java': 2, 'Ruby': 4, 'R': 1}",['Patient'],['Impatient'],No,Yes,No,Fail,Business
Berti Nayer,02/07/2019,"{'Python': 1, 'C#': 1, 'Java': 3, 'R': 5, 'PHP': 2}","['Creative', 'Consistent']",['Indifferent'],Yes,Yes,Yes,Pass,Data
Adaline Durtnell,30/07/2019,"{'Python': 4, 'C#': 4, 'Java': 2, 'Ruby': 4, 'JavaScript': 1}","['Patient', 'Organisation', 'Efficient']",['Perfectionist'],Yes,No,No,Fail,Data
Oralia Chaikovski,25/07/2019,{'Python': 3},"['Versatile', 'Courteous', 'Listening']","['Indifferent', 'Distracted', 'Chaotic']",No,Yes,Yes,Fail,Engineering
Ester Mcterrelly,11/07/2019,"{'Python': 3, 'Java': 2, 'Ruby': 4, 'R': 4, 'SPSS': 3, 'PHP': 2, 'JavaScript': 3}",['Organisation'],"['Anxious', 'Indecisive', 'Passive']",No,Yes,Yes,Fail,Data
Lee Bernocchi,03/07/2019,"{'Python': 4, 'C#': 2, 'SPSS': 2, 'C++': 2}","['Rational', 'Composure']","['Intolerant', 'Controlling']",Yes,No,Yes,Fail,Engineering
Clarke Cradoc,25/07/2019,"{'Python': 3, 'Java': 1, 'Ruby': 3, 'PHP': 1}","['Critical Thinking', 'Organisation', 'Perfectionism']","['Perfectionist', 'Indifferent', 'Anxious']",Yes,Yes,Yes,Pass,Engineering
Dun Kurth,09/07/2019,{'Java': 1},"['Listening', 'Courteous']","['Overbearing', 'Undisciplined']",Yes,Yes,No,Fail,Data
Drusy Benny,02/07/2019,"{'Java': 4, 'Ruby': 3, 'C++': 4}",['Competitive'],"['Impulsive', 'Undisciplined']",Yes,Yes,Yes,Pass,Data
Maxie Thairs,03/07/2019,"{'Ruby': 4, 'R': 2, 'PHP': 1, 'C++': 3, 'JavaScript': 3}",['Problem Solving'],['Critical'],No,Yes,No,Fail,Business
Lurline Stirtle,11/07/2019,"{'R': 5, 'C++': 1}",['Ambitious'],"['Conventional', 'Intolerant', 'Chatty']",Yes,Yes,Yes,Pass,Business
Marna Matskevich,30/07/2019,"{'Java': 2, 'SPSS': 3, 'C++': 4}",['Rational'],['Slow'],Yes,Yes,Yes,Pass,Business
Ara Loggie,02/07/2019,"{'Java': 1, 'R': 4}","['Ambitious', 'Collaboration']",['Undisciplined'],Yes,Yes,Yes,Pass,Data
Brewer Calderbank,16/07/2019,"{'Java': 3, 'PHP': 1, 'JavaScript': 2}","['Reliable', 'Rational', 'Charisma']","['Immature', 'Undisciplined', 'Perfectionist']",Yes,Yes,Yes,Pass,Engineering
Eberhard Cattemull,30/07/2019,"{'Python': 1, 'C#': 1, 'Java': 4, 'C++': 4}","['Altruism', 'Composure']",['Selfish'],Yes,Yes,Yes,Pass,Data
Tuesday Tasseler,09/07/2019,"{'Python': 3, 'R': 1}","['Charisma', 'Critical Thinking', 'Problem Solving']",['Overbearing'],Yes,Yes,Yes,Pass,Data
Brodie Chipperfield,24/07/2019,"{'Python': 2, 'Ruby': 2, 'SPSS': 4, 'PHP': 1, 'C++': 4}","['Efficient', 'Competitive']","['Slow', 'Distracted']",Yes,Yes,Yes,Pass,Engineering
Hill Tiplady,03/07/2019,{'C#': 3},['Patient'],['Procrastination'],No,Yes,Yes,Fail,Data
Briggs Logsdail,18/07/2019,{'Java': 4},['Consistent'],['Impatient'],Yes,No,Yes,Fail,Data
Adela Paley,23/07/2019,"{'Python': 2, 'Java': 4, 'Ruby': 3, 'SPSS': 2}","['Ambitious', 'Efficient', 'Versatile']",['Anxious'],Yes,Yes,Yes,Pass,Data
Meyer Dobbison,30/07/2019,"{'Python': 1, 'C#': 2, 'Java': 5, 'Ruby': 3}","['Rational', 'Listening']","['Chaotic', 'Competitive']",Yes,Yes,No,Fail,Engineering
Sherlocke Baselio,02/07/2019,"{'Ruby': 3, 'C++': 6, 'JavaScript': 2}","['Creative', 'Innovative', 'Collaboration']","['Controlling', 'Undisciplined']",Yes,Yes,Yes,Pass,Business
Amalea Ughi,02/07/2019,"{'Ruby': 2, 'SPSS': 5, 'PHP': 1}","['Innovative', 'Altruism', 'Consistent']","['Introverted', 'Passive']",Yes,Yes,Yes,Pass,Business
Julia Taile,02/07/2019,"{'Ruby': 4, 'PHP': 1}",['Consistent'],"['Procrastination', 'Conventional']",Yes,No,Yes,Fail,Business
Eden Chattock,09/07/2019,"{'Python': 1, 'C++': 3}","['Listening', 'Composure']","['Impulsive', 'Undisciplined']",Yes,Yes,Yes,Pass,Engineering
Rois Covey,25/07/2019,"{'C#': 6, 'Java': 2, 'Ruby': 3, 'R': 2, 'PHP': 1, 'C++': 4}","['Composure', 'Determined']","['Controlling', 'Competitive', 'Conventional']",Yes,Yes,Yes,Fail,Business
Avictor Moorey,17/07/2019,"{'C#': 3, 'Java': 2, 'PHP': 2, 'C++': 4}","['Empathy', 'Versatile', 'Organisation']",['Slow'],Yes,No,Yes,Fail,Business
Regina Calver,31/07/2019,"{'C#': 2, 'Ruby': 3, 'R': 2, 'C++': 3}","['Organisation', 'Curious']",['Sensitive'],Yes,Yes,Yes,Pass,Data
Lonnard O'Neill,18/07/2019,"{'Java': 4, 'PHP': 2, 'C++': 1, 'JavaScript': 2}","['Charisma', 'Determined']","['Procrastination', 'Competitive']",Yes,Yes,Yes,Pass,Data
Ardis Staniland,02/07/2019,"{'C#': 3, 'Ruby': 7, 'R': 3}",['Altruism'],['Chaotic'],Yes,Yes,No,Fail,Data
Bill Pendlebury,18/07/2019,"{'Python': 5, 'C#': 6, 'R': 2, 'PHP': 3}",['Creative'],"['Chatty', 'Distracted', 'Impulsive']",Yes,Yes,No,Fail,Business
Allyce Attwill,25/07/2019,"{'Java': 1, 'Ruby': 2, 'R': 3, 'PHP': 1}","['Rational', 'Competitive']","['Conventional', 'Slow', 'Anxious']",Yes,Yes,Yes,Pass,Engineering
Belle Catherall,11/07/2019,"{'Python': 1, 'C#': 2, 'Java': 4, 'Ruby': 5, 'R': 4, 'C++': 7}","['Efficient', 'Patient']","['Chatty', 'Competitive']",Yes,Yes,Yes,Pass,Data
Layne Mcaline,25/07/2019,"{'Python': 2, 'C#': 4, 'Java': 1, 'Ruby': 1, 'R': 5, 'SPSS': 1, 'JavaScript': 2}",['Rational'],"['Introverted', 'Perfectionist', 'Critical']",Yes,Yes,No,Fail,Business
Ulrikaumeko Bowsher,16/07/2019,"{'C#': 3, 'R': 2, 'JavaScript': 7}","['Curious', 'Problem Solving']","['Chatty', 'Impatient', 'Controlling']",Yes,Yes,Yes,Pass,Data
Lory Bruckman,11/07/2019,"{'C#': 3, 'Java': 2, 'SPSS': 4}","['Problem Solving', 'Creative', 'Versatile']","['Slow', 'Anxious']",Yes,Yes,Yes,Pass,Data
Rufe Devon,11/07/2019,"{'C#': 3, 'PHP': 2, 'C++': 4}",['Consistent'],"['Controlling', 'Impatient', 'Critical']",Yes,Yes,Yes,Pass,Data
Abbott Dodgshon,18/07/2019,"{'Java': 2, 'C++': 5}","['Innovative', 'Creative']","['Indifferent', 'Procrastination']",Yes,Yes,Yes,Pass,Engineering
Antonie Coram,25/07/2019,"{'Python': 2, 'Java': 2, 'C++': 1, 'JavaScript': 3}","['Efficient', 'Reliable', 'Perfectionism']","['Chatty', 'Impatient']",Yes,Yes,Yes,Pass,Data
Cinnamon Gilkison,09/07/2019,"{'Python': 2, 'PHP': 3, 'C++': 1, 'JavaScript': 2}",['Rational'],['Overbearing'],Yes,Yes,Yes,Fail,Business
Dewitt Milborn,24/07/2019,{'SPSS': 1},['Independent'],"['Distracted', 'Perfectionist', 'Indecisive']",Yes,Yes,Yes,Pass,Data
Claude Duran,02/07/2019,"{'Python': 1, 'C#': 5, 'SPSS': 1}",['Curious'],"['Immature', 'Impulsive']",Yes,No,Yes,Fail,Data
Nadya Pineaux,23/07/2019,"{'C#': 3, 'Ruby': 3, 'R': 1, 'SPSS': 3}","['Ambitious', 'Altruism', 'Reliable']",['Indecisive'],Yes,Yes,Yes,Pass,Data
Nani Measom,25/07/2019,"{'Ruby': 1, 'R': 1, 'SPSS': 1}","['Composure', 'Efficient']","['Passive', 'Conventional', 'Indecisive']",Yes,Yes,No,Fail,Data
Ches Wahlberg,23/07/2019,"{'Ruby': 4, 'SPSS': 6, 'PHP': 2, 'C++': 1}",['Courteous'],"['Overbearing', 'Critical', 'Sensitive']",Yes,Yes,Yes,Pass,Engineering
Zacherie Beswell,11/07/2019,"{'Ruby': 2, 'JavaScript': 1}","['Patient', 'Altruism', 'Creative']",['Sensitive'],Yes,Yes,Yes,Pass,Business
Karla Windridge,31/07/2019,"{'C#': 2, 'C++': 2}",['Composure'],['Undisciplined'],Yes,No,Yes,Fail,Business
Lannie Minister,31/07/2019,,"['Consistent', 'Independent', 'Curious']","['Indecisive', 'Anxious']",Yes,Yes,Yes,Pass,Data
Andree Romeo,02/07/2019,{'Python': 1},['Collaboration'],"['Impatient', 'Anxious', 'Undisciplined']",Yes,Yes,Yes,Pass,Business
Roch De Courcy,09/07/2019,"{'C#': 3, 'R': 2}","['Collaboration', 'Determined']",['Impulsive'],Yes,Yes,Yes,Pass,Data
Maggie Dolden,11/07/2019,"{'Java': 1, 'Ruby': 3}","['Reliable', 'Consistent']","['Overbearing', 'Chatty', 'Anxious']",Yes,Yes,Yes,Pass,Data
Gage Feveryear,11/07/2019,"{'SPSS': 4, 'PHP': 1, 'JavaScript': 2}",['Altruism'],"['Indecisive', 'Selfish', 'Chaotic']",Yes,Yes,Yes,Pass,Business
Virginia Burdge,11/07/2019,{'R': 5},"['Passionate', 'Ambitious', 'Reliable']","['Chaotic', 'Conventional']",No,Yes,Yes,Fail,Engineering
Melodee Crippen,04/07/2019,"{'Python': 3, 'Ruby': 2, 'R': 4, 'C++': 6}",['Versatile'],['Procrastination'],Yes,Yes,Yes,Pass,Business
Raven Derx,24/07/2019,"{'Ruby': 4, 'SPSS': 5}","['Independent', 'Collaboration']","['Procrastination', 'Chatty']",Yes,No,Yes,Fail,Business
Joseito Duiged,17//07/2019,,"['Composure', 'Patient', 'Charisma']",['Sensitive'],Yes,Yes,Yes,Pass,Business
Merline Rickell,23/07/2019,"{'SPSS': 5, 'C++': 2}","['Problem Solving', 'Ambitious', 'Patient']","['Selfish', 'Conventional', 'Sensitive']",Yes,Yes,Yes,Pass,Engineering
Vina Flott,16/07/2019,"{'Java': 3, 'JavaScript': 1}","['Ambitious', 'Consistent']","['Chaotic', 'Impatient', 'Indecisive']",Yes,Yes,No,Fail,Data
Hastie Hantusch,17/07/2019,{'Ruby': 3},"['Reliable', 'Patient']","['Slow', 'Procrastination', 'Stubborn']",No,Yes,Yes,Fail,Engineering
Ines Plaschke,24/07/2019,"{'C#': 5, 'JavaScript': 2}","['Innovative', 'Curious', 'Problem Solving']","['Chaotic', 'Impatient']",Yes,Yes,No,Fail,Data
Burnaby Mackay,17/07/2019,"{'Python': 2, 'C#': 6, 'R': 1, 'SPSS': 7, 'PHP': 2}","['Rational', 'Reliable', 'Critical Thinking']","['Introverted', 'Chaotic']",Yes,Yes,Yes,Fail,Business
Linc Ridgway,17/07/2019,{'SPSS': 1},"['Independent', 'Altruism']",['Impulsive'],Yes,No,Yes,Fail,Engineering
Darcy Handrahan,09/07/2019,"{'C#': 4, 'Java': 4, 'C++': 3, 'JavaScript': 2}","['Competitive', 'Rational']","['Indecisive', 'Chatty']",Yes,Yes,No,Fail,Data
Towny Povall,31/07/2019,"{'Python': 3, 'Java': 2, 'R': 2, 'SPSS': 7, 'C++': 2, 'JavaScript': 3}","['Altruism', 'Charisma']",['Slow'],Yes,No,Yes,Fail,Data
Beauregard Hould,30/07/2019,{'Python': 7},['Consistent'],"['Indifferent', 'Sensitive']",Yes,Yes,Yes,Pass,Data
Joletta Kalinowsky,31/07/2019,"{'Java': 4, 'Ruby': 2, 'PHP': 3, 'JavaScript': 4}",['Ambitious'],['Anxious'],Yes,Yes,Yes,Pass,Business
Lock Ellerker,04/07/2019,"{'C#': 6, 'Java': 2, 'SPSS': 2, 'JavaScript': 7}","['Problem Solving', 'Listening']","['Procrastination', 'Impatient']",No,Yes,No,Fail,Data
Freddie Samber,10/07/2019,"{'C#': 1, 'Java': 2, 'R': 3, 'SPSS': 3, 'JavaScript': 2}","['Ambitious', 'Patient']","['Conventional', 'Overbearing']",Yes,Yes,Yes,Pass,Data
Arlette Pickles,11//07/2019,"{'Java': 3, 'JavaScript': 4}",['Listening'],"['Chaotic', 'Impatient', 'Indecisive']",Yes,Yes,No,Fail,Data
Simonette Mawson,31/07/2019,"{'Python': 1, 'Ruby': 2, 'PHP': 3, 'C++': 2}",['Composure'],['Impatient'],Yes,Yes,Yes,Pass,Data
Micheal Di Matteo,30/07/2019,"{'R': 2, 'SPSS': 5, 'JavaScript': 1}","['Problem Solving', 'Empathy', 'Altruism']","['Competitive', 'Slow']",Yes,Yes,Yes,Pass,Data
Madeleine Brunicke,11/07/2019,"{'Python': 6, 'Java': 8, 'Ruby': 2, 'R': 2, 'SPSS': 3, 'C++': 3}",['Organisation'],"['Undisciplined', 'Chatty', 'Competitive']",Yes,Yes,No,Fail,Data
Ashby Capener,18/07/2019,"{'Python': 2, 'Java': 5, 'R': 3, 'C++': 1}",['Independent'],['Impulsive'],Yes,Yes,Yes,Fail,Business
Rachele Bracknell,18/07/2019,,"['Perfectionism', 'Independent']","['Indifferent', 'Procrastination']",Yes,Yes,Yes,Pass,Data
Portia Farfalameev,16/07/2019,"{'Python': 1, 'Java': 3, 'Ruby': 1, 'C++': 5, 'JavaScript': 1}",['Competitive'],"['Introverted', 'Undisciplined', 'Impatient']",Yes,Yes,Yes,Pass,Business
Grant Kilban,10/07/2019,"{'Python': 4, 'C#': 3, 'Java': 5, 'SPSS': 5, 'PHP': 2, 'C++': 3}","['Passionate', 'Ambitious']",['Conventional'],Yes,Yes,No,Fail,Business
Sinclair Bonder,11/07/2019,"{'C#': 2, 'R': 1, 'SPSS': 3}",['Perfectionism'],['Anxious'],Yes,Yes,Yes,Pass,Engineering
Harmonia Winspare,04/07/2019,"{'C#': 3, 'R': 4, 'SPSS': 2, 'JavaScript': 1}",['Problem Solving'],['Undisciplined'],Yes,Yes,Yes,Pass,Engineering
Milly Ison,31/07/2019,"{'Python': 4, 'Ruby': 1}","['Composure', 'Empathy']","['Immature', 'Slow']",Yes,Yes,Yes,Pass,Engineering
Evvy Allcock,25/07/2019,"{'Python': 3, 'C#': 2, 'Ruby': 3, 'R': 5, 'JavaScript': 2}","['Versatile', 'Perfectionism']",['Slow'],Yes,Yes,Yes,Pass,Engineering
Con Haxley,31/07/2019,"{'Python': 3, 'C#': 4, 'Java': 2, 'PHP': 2, 'C++': 3}","['Determined', 'Problem Solving']","['Controlling', 'Immature', 'Perfectionist']",Yes,Yes,Yes,Pass,Data
Bryanty Greenacre,31/07/2019,"{'Python': 3, 'Java': 1}",['Perfectionism'],['Procrastination'],Yes,Yes,Yes,Pass,Business
Vivianne Shills,31/07/2019,"{'C#': 5, 'Java': 5, 'R': 4, 'JavaScript': 1}","['Problem Solving', 'Organisation']",['Indifferent'],Yes,Yes,Yes,Pass,Data
Renado Bulfoot,31/07/2019,"{'Ruby': 2, 'R': 3, 'PHP': 2}",['Efficient'],['Perfectionist'],Yes,No,Yes,Fail,Engineering
Sinclair Breissan,12/07/2019,"{'C#': 1, 'Java': 1, 'Ruby': 1, 'R': 1, 'SPSS': 3, 'PHP': 1, 'JavaScript': 5}","['Independent', 'Efficient']",['Anxious'],No,Yes,Yes,Fail,Engineering
Conn Dobson,18/07/2019,"{'Java': 5, 'R': 5}",['Courteous'],"['Procrastination', 'Impulsive']",Yes,Yes,No,Fail,Business
Nicolle Radford,04/07/2019,"{'Python': 2, 'Ruby': 3, 'C++': 4, 'JavaScript': 5}","['Versatile', 'Charisma']",['Intolerant'],Yes,Yes,Yes,Pass,Business
Marquita Forrington,20/07/2019,"{'C#': 1, 'Ruby': 1}","['Organisation', 'Independent', 'Altruism']","['Stubborn', 'Controlling']",Yes,Yes,Yes,Pass,Data
Ingaborg Pitblado,18/07/2019,"{'C#': 2, 'Ruby': 6, 'R': 5, 'SPSS': 7, 'PHP': 1}",['Ambitious'],"['Chatty', 'Anxious']",No,Yes,Yes,Fail,Business
Bethanne Este,06/07/2019,"{'Python': 2, 'Java': 4, 'SPSS': 6, 'JavaScript': 3}","['Patient', 'Innovative']","['Indifferent', 'Competitive']",Yes,No,Yes,Fail,Business
Ingelbert Clench,27/07/2019,"{'C#': 2, 'SPSS': 3, 'C++': 6}","['Critical Thinking', 'Creative', 'Courteous']","['Controlling', 'Overbearing']",Yes,Yes,Yes,Pass,Data
Aura Louche,04/07/2019,"{'Python': 2, 'R': 2, 'SPSS': 3, 'C++': 2}","['Determined', 'Creative', 'Rational']",['Indifferent'],Yes,Yes,Yes,Pass,Data
Cully Seward,05/07/2019,{'SPSS': 1},['Determined'],"['Undisciplined', 'Controlling', 'Critical']",Yes,No,Yes,Fail,Data
Lenna Daulby,13/07/2019,"{'Python': 3, 'C#': 2, 'Ruby': 3, 'C++': 5}",['Composure'],"['Anxious', 'Slow', 'Controlling']",Yes,Yes,Yes,Pass,Engineering
Billi Narraway,18/07/2019,"{'Python': 4, 'C#': 2, 'Java': 3, 'Ruby': 1}",['Independent'],"['Conventional', 'Selfish']",Yes,Yes,Yes,Fail,Engineering
Aurelea Leason,25/07/2019,"{'Java': 6, 'Ruby': 2, 'SPSS': 1, 'PHP': 1}","['Creative', 'Independent', 'Organisation']","['Intolerant', 'Competitive', 'Chatty']",Yes,Yes,Yes,Pass,Data
Lucius Buswell,04/07/2019,"{'Python': 5, 'Java': 2, 'SPSS': 2, 'PHP': 3}","['Perfectionism', 'Efficient', 'Creative']","['Anxious', 'Conventional', 'Intolerant']",Yes,Yes,Yes,Pass,Engineering
Esdras Pires,13/07/2019,"{'Python': 5, 'Ruby': 1, 'R': 2, 'SPSS': 3, 'C++': 6, 'JavaScript': 1}",['Competitive'],['Passive'],Yes,No,Yes,Fail,Data
Siouxie Rogan,11/07/2019,"{'Ruby': 5, 'PHP': 2}","['Organisation', 'Curious']",['Immature'],Yes,Yes,Yes,Pass,Engineering
Marchall Pocklington,25/07/2019,"{'C#': 3, 'R': 3, 'SPSS': 3, 'PHP': 2, 'C++': 3, 'JavaScript': 1}","['Composure', 'Competitive', 'Independent']","['Indecisive', 'Conventional', 'Distracted']",Yes,Yes,Yes,Fail,Engineering
Granthem Long,05/07/2019,"{'Python': 2, 'R': 2, 'PHP': 3, 'JavaScript': 2}",['Organisation'],"['Passive', 'Chaotic', 'Procrastination']",Yes,Yes,Yes,Pass,Engineering
Charlean Balston,11/07/2019,"{'SPSS': 3, 'JavaScript': 3}","['Listening', 'Altruism', 'Competitive']",['Indecisive'],Yes,No,Yes,Fail,Data
Jimmie Durker,06/07/2019,"{'SPSS': 3, 'PHP': 1}","['Listening', 'Ambitious']",['Perfectionist'],Yes,Yes,Yes,Pass,Engineering
Jeanette Wankel,12/07/2019,"{'C#': 1, 'Ruby': 5, 'SPSS': 3, 'PHP': 3}",['Rational'],"['Introverted', 'Indifferent', 'Controlling']",Yes,Yes,Yes,Fail,Data
Giulietta Dissman,25/07/2019,"{'C#': 6, 'C++': 1, 'JavaScript': 1}","['Passionate', 'Creative']",['Chaotic'],Yes,Yes,No,Fail,Data
